SENTENCE	SLANG_TERM
Well , let 's hope that does n't happen .	kid gonna
With dodgy little packages in the back seat of the motor .	dodge
Which is all the way out in bumplefudge .	bumplefudge
I 've just been in a very bad mood for 40 years .	i'm not crazy
♪ that I 'm gon na buy you	gonna
Do n't go back in there , Jake .	go back
She keep her shit tight , you can tell .	shit
I thought we were bros ?	bros
It 's not about meds , it 's about your misses .	meds
You just keep it together , lad .	lad
That would , uh , help things along .	uh
The amount of money we 've already palmed him , you think he 'd give us one of his own kids .	palmed him
You do it another way and you get tail feathers .	tail feathers
I 'm not , I 'm not your wife .	meg
And , er , every single day ..... between 1 994 , spring ' 94 and spring ' 97 , ..... there was something , there was some excitement .	er
`` You 're miles above the rest . ''	miles above
Sex , drugs and rock and roll .	rock and roll
- No offense , but you were pretty wasted the other night .	wasted
Right now I 'm just a guy out for a nice drive .	guy
The dogs on the bus go woof , woof , woof	woof
Bring Sa// y up and bring Sa// y down	bring sa
¶ Put him in the rain till he gets sober ¶	till
I saw you on the cover of that one magazine .	gonna come
Well , that is a honey trap for morsels of food .	honey trap
- You ordered your salad like a shrink .	shrink
They got a huge stake .	stake
My boyfriend went to a different school , so I did n't chat with boys .	chat
- I 'll see you on the track , yeah .	yeah
I no longer sully my hands touching actual patients .	sully
What are you fellas staring at ?	fellas
I love being in the warm bosoms of my family .	bosoms
Hey , do you maybe wan na go on a date ?	wanna
And there 's your two kids .	kids
If I go out with you , we just a couple of old biddies .	biddies
Hey , Memphis , you know , we still have the Mercedes keys from the last boost .	boost
Yup , all style complaints go to her .	yup
I know you 're gon na look hot in it .	hot
I 'll keep my eye on Amar .	keep my eye on
What are all those angry liberals going to do without their daily fix , baby ?	baby
Tony , this was not an ace Parmesan from Froman 's ...	ace
Did you talk to Russell Hammond ?	time
you spend an hour with him , i 'll give you 100 quid why ?	quid
See , that 's the old college Johnson .	old college
Oh , thanks mate , I 've had nothing to eat all day .	mate
# But the bravest by far in the ranks of the Shah	shah
When Jerry and I were being shot at ...	shot at
I guess I 'm on the list .	on the list
- Throw in the Merc and all .	merc
You piss a man off , he will get even !	piss
I just want to say that , um ...	um
Oh , hang on , I forgot about summat .	summat
And I mean , after the beating I just took , you owe me .	beating
Does she seem kind of touchy to you ?	touchy
Mind if I cut in ?	cut
The bitch wants you , then she 's not good enough for me anyway !	bitch
Even though what your mother said scared me and I do n't want to be a project for you , Wesley .	project
I want eyes on him right now !	eyes on
OK , so do you need time to think about it or ... ?	ok
Yeah , he 's just trying to be funny .	yeah
In 40 minutes , when we fail to check in with Ashcroft this whole area is gon na be crawling with cops .	crawling
Jody , are you messin ' with my date ?	messin' with
I wo n't be selfish no more .	no more
You ai n't got no heart .	heart
I 'm not seeing anyone at the moment .	seeing anyone
Oh , gee , I do n't know .	gee
We 're top dogs in Derby now , Longson ca n't stand it .	top dogs
The geezer you hooked me up with , he said he can only get one .	geezer
The Cheverny and the Chablis Premier Cru .	cru
We should get back to the bar .	get back
Was gon na say you look different .	gonna
.. Hit me with your best shot ..	dukes
What did you get out of him before the PD shut him up ?	pd
Because history 's not such a frolic for women as it is for men .	frolic
It peaces out after a few weeks .	peaces
You do n't wan na see Jay .	wanna
I got a job as a busboy at this place in the Village ,	busboy
- It might make you mad again .	mad
I said give it a rest !	give it a rest
Get them to rub me up the right way .	rub me up
You nailed it today , man , but you always do .	nailed it
- You really think I should ?	city
I fucking loved her , man .	man
# Grey is such a pity	pity
Jenny , I 'm seeing things in a whole different way tonight .	seeing things
If you do not call off your goons ,	goons
Catapult dis bitch up out my sight .	catapult
Bet you thought , '' She 's an East End girl , bound to have a gran and a mum ''	gran
If we were talking , I still would n't tell him shit .	shit
.. for the most , for the ..... the majority of me life .	me
You gon na give me a ticket ?	gonna
The dogs on the bus go woof , woof , woof ... ?	woof
AII right , hold on for your mom .	hold on
Lucy in the sky with diamonds .	lucy in the sky with diamonds
Well , maybe you should make some .	uh
I can show you around , but you might wan na cover your nose .	cover your nose
Y'all two can roll with my man Marcus .	roll
What do you want a gun for , brother ?	brother
Is that gon na be too small for you ?	kidding
- We 're looking for a sweet old man .	sweet
I was with Jonesy , and we were just looking Felix up on the net , just a something to do .	jonesy
Some kind of mad nutty professor ?	nutty
Thy two breasts are like forns feeding among the lilies .	thy
You 're on a 50 % margin , buddy .	buddy
Perhaps you could consider it a loaner .	loaner
And that 's not even his best pitch .	best
You 'd abandon the universe ... and me for a cafe late ?	abandon the universe
1 , what the hell is going on here ?	what the hell
Right , this is gon na be your first assignment .	gonna
So this guy just wants us to grab him ?	guy
Mommy , we 've had a long day .	mommy
Am I right , my brothers ?	my brothers
My sons are gon na be studs .	studs
Oi , what are you two doing back together ?	oi
You do n't have to shoot him either .	shoot
Do n't give me that look .	that look
I mean , in the past , you know , to go to gigs ,	you know
Oh , my God , they are so cool !	cool
Yeah , he 's got the moves .	moves
Alright , well we can get you a copy after class .	alright
A bit below stairs for you here , is n't it ?	below stairs
See you in the morning , boss .	boss
Half an IHOP corn cake .	ihop
Seriously , if you say anything she 's just gon na spaz out .	spaz out
And that bloke who cuts my hair ,	bloke
The guy who done it , man , he was a kid .	kid
You made love to me like ...	made love
She 's in good hands , Nic , I promise you .	in good hands
I 'm getting a little air-to-air feeling .	air to air feeling
His left hand is under my head , and his right hand doth embrace me .	doth
An entire generation of Cinderellas , and there 's no slipper coming .	cinderellas
Had n't seen him in years , and I read about what happened in the paper and I was just	heartbroken
You probably think I 'm a total weirdo now , huh ?	weirdo
Can we agree on being exclusive ?	exclusive
Uh , the family thought it would do him good .	uh
Think we might get jacked ?	jacked
We both know that 's not going to happen , kid .	run this place
the silent one-two-three , we 're going to this .	no slang was used in this sentence
'Cause I do n't forget eyes like yours .	cause
Sorry to burst your bubble , soldier .	burst your bubble
The old nigger squat fuck .	nigger
Well , I just closed on a slightly used Beamer M6 .	beamer
OK , sorry I was late .	ok
I used to think you were crazy for marrying that man .	lowlifes
Anybody tells you different is full of shit .	full of shit
That money is not going to junkies to help with their families .	junkies
How long you gon na give it , Alex ?	gonna
How you doing , sweet pea ?	sweet pea
Are we worried about this fabric getting super pilly ?	pilly
- I want you to take some time off .	time off
We just meant to shit him up .	shit
Everything will be fine , honey .	honey
Your Honour , I think that Charlie needs to find his own way .	find
You look like hammered doodoo .	doodoo
- And , hey , I met you .	cool
Yeah , we used to come here every Sunday night .	yeah
One of those ... black tie worthy cause , lousy food kind of thing .	black tie worthy cause
Because if for any reason , you 're not up to it ... we could send somebody from Charlotte .	up to it
They think they 're being generous in bed .	generous in bed
I 'm gon na deal with you later , Kenneth .	gonna
You 're a dick bitir bitch !	dick bitir
You argue with your mates sometimes , right ?	mates
When 'd you get into him ?	into
You liked the tape , yeah ?	yeah
Least the Force saw you all right .	all
I used to be in the park drinking with all the lads .	lads
I feel like I have to tell you about first , though .	tell you
We 're making your deathbeds here , boys .	boys
It 's not a party , it 's a bunch of people sitting around in the dark , texting .	texting
I know something about divorce .	something
And I 'm gon na sing to you like a father would sing to his little Jewish boy .	sing
- Email it to your ex ?	ex
- Why do n't you come in , we 'll talk about it .	come
